valid_auc,valid_auc_01,valid_precision,valid_accuracy,valid_AP,test_auc,test_auc_01,test_precision,test_accuracy,test_AP,fold,encoding,pad,main_nh,std,main_bn,main_drop,window_size,extra_nh,extra_bn,extra_drop,lr,wd,batch_size,features
0.7162,0.5331,0.4706,0.7882,0.3661,0.6614,0.5208,0.0276,0.9087,0.0295,0.0,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
0.6578,0.532,0.3733,0.7199,0.3471,0.5735,0.5171,0.0214,0.7698,0.0216,1.0,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
0.5756,0.5083,0.25,0.7903,0.2237,0.5883,0.5543,0.0364,0.8902,0.0293,2.0,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
0.6661,0.5434,0.3846,0.7407,0.3525,0.5665,0.5047,0.0151,0.8178,0.0193,3.0,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
0.6254,0.5527,0.5455,0.7931,0.3536,0.5976,0.5322,0.0339,0.9642,0.0248,4.0,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
0.6655,0.5346,0.2754,0.7109,0.297,0.6288,0.4869,0.023,0.7542,0.0207,5.0,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
0.6121,0.5633,0.5238,0.7749,0.3742,0.6334,0.5297,0.032,0.8873,0.0253,6.0,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
0.6373,0.5206,0.3478,0.7434,0.3505,0.671,0.5419,0.026,0.8633,0.0347,7.0,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
0.6714,0.5704,0.2923,0.6325,0.3879,0.5995,0.5101,0.0199,0.5026,0.0217,8.0,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
0.675,0.5424,0.3117,0.6892,0.3253,0.5756,0.518,0.0203,0.6874,0.0241,9.0,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
0.6502399999999999,0.54008,0.3775,0.73831,0.33779000000000003,0.60956,0.52157,0.02556,0.8045500000000001,0.0251,average,BL50LO,0,10,True,True,0.0,5,10,True,0.0,0.001,0.0,128,EL_rank_mut-icore_blsm_mut_score
